
  Obs     ID  DAY  AAN  UVD  FRQD
-----  -----  ---  ---  ---  ----
    1  1.012    1    1    0    14
    2  1.012    2    2    1    12
    3  1.012    3    2    2    13
    4  1.014    1    2    2     7
    5  1.014    2    3    2     5
    6  1.014    3    3    2     8
    7  1.021    1    2    1    10
    8  1.021    2    2    1     8
    9  1.021    3    2    2     6
   10  1.022    1    3    1     6
   11  1.022    2    2    1     2
   12  1.022    3    2    1     8
   13  1.024    1    2    2     9
   14  1.024    2    3    0     3
   15  1.024    3    3    0     9
   16   1.03    1    2    0     9
   17   1.03    2    2    1    10
   18   1.03    3    2    1    12
   19  1.031    1    3    1     5
   20  1.031    2    1    2    12
   21  1.031    3    1    0    11

